w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
衣類,導入,活気のある,面白い,経つ,慎重な,思惑,他愛ない,神社,イケ面
社交的,丈夫,無責任,臭い,情けない,報道,独創的,美しい,表する,心待ち
難民,役割,緊急,防衛,海苔,厚着,内容,合格,賢い,恐ろしい
満足な,これ以上,野党,起こる,平日,いい方向,意向,表明,追加,表情
復興,応急,勿体ない,贅沢な,添えて,効果的,いただいて,無駄な,素敵な,物資
濃い,外向的,幸せな,着替える,利口な,気分屋,着席,役に立つ,値段,面食い
熱心な,苦難,見込み,散らす,最適な,着せる,激しい,間違い,弁護,要請
怪しい,暖かい,誠実な,同盟,突く,当たり前,内閣,確認,表示,感情的
面倒な,わがまま,悔しい,見通し,空しい,総合,隠す,着用,閑散,完成
事務室,有力,異なる,納豆,法案,素晴らしい,詳しい,散布,乱暴な,静かな
僅かな,思われる,詰らない,痛さ,臭い,頼もしい,様々な,平気,羨ましい,漬ける
観光,付く,薄着,接触,退屈な,迷惑な,出来る時,深夜,風に,散髪
近づく,就ける,流れる,豊かな,忍耐強い,公表,倒れる,新着,最終回,丁寧な
厳しい,接する,急な,優柔不断,期待,隠れる,滑る,統制,手軽な,強い
美形,全く,ちゃんと,緩やか,非難,きつい,鈍らな,無邪気な,当選,接続
非常,決着,可能,危機,痛み止め,険しい,設置,避難,見直し,身近な
正直な,見た目,時期,いい加減,設立,分別,不満な,夢中,呑気,普段着
指導,電流,回折,普通に,守る,懐かしい,最低,予報,要望,飲み会
小まめに,寄る,基本的,猛暑日,先導,何気ない,補給,度,予期,骨折
時刻表,酸っぱい,痒い,意欲的,落ち着く,予想,終わる,しつこい,偉い,導ける
最後まで,心大きい,発表者,避難民,取引,都会,鋭い,真面目,腕白な,狡い
直接,設定,食事,苦しい,実用的,十分,試験,対策,着地,水分
点ける,深い,積極的,点く,鈍い,難点,恥ずかしい,危険な,体力,不思議
興味深い,早速,不当,一般的,伝統的,施設,分散,楽な,憎たらしい,天気
時刻,卒業,さて,下らない,撮って,息子,難題,典型的,領域,賃金
落ち着いた,送る,発表,虚しい,付着,農地,災難,曖昧な,残念な,撮りながら
仕方ない,現実的,非現実的,週間,出鱈目,鈍る,優しい,意外な,摂って,予想
遅れる,負担,曇り,実際的,風景,供給,半島,こういう,情報,悲しい
当然,表現,就く,地方,開設者,解説書,補助,完全な,面接,平らな
圧迫,眩しい,怒る,発生,廃止,相談,必要な,感謝,頭がいい,回折領域
散歩,性格,着る,代表,親しい,壊れる,回折損,優しさ,無難,薄い
建設,可能性,陽気な,活用,注意報,図太い,搗く,設ける,導く,遭難
流行,愚かな,折角,地球,散る,困難,親切な,先見,最高,敷設
融資,拡散,設計,到着,勇敢な,警報,辛い,表す,正確な,台風
成績,貧しい,苦い,素直な,物分かり,降水,完ぺき,勤勉な,是非,集合
着く,行動的,誘導,解説者,難関,現代的,試着,連盟,国際的,可能な
定着,開設,難局,思いやり,表面,発散,蒸し暑い,方向,増設,祈る
解説,気温,解散,伝導,高価な,内向的,尻が重い,漬く,不安な,実行
風速,聴く,無理な,全員,まずい,吐く,図表,補給,安全な,表決
難しい,僅かに,接近,設備,確率,載せて,ついてる,回折限界,付ける,二の舞
