Script,s2,s3,s4,s5,s6,s7,s8,s9,s10
うまくいかなかったら、やり方を変えてみよう。,ちょっと暑いんだけど、窓を開けてくれない。,今日、彼女は新しいスニーカーを履いています。,彼は曲がったことが嫌いだ。,母は私にプレゼントをくれました。,そのシャツはすぐ乾くでしょう。,床をほうきで掃いた。,彼は亡くなる一年前に自伝を著しました。,私の部屋は日が当たらない。,論文を書くために、資料を集めておきます。
富士山は雲に隠れてしまって、見えなかった。,ドアに鍵を掛けるのを忘れないでください。,電話番号が変わったことを友達に知らせた。,開発から自然を守ろう。,公園の池に氷が張っている。,漢字がいくつぐらい書けますか。,どうしてもチェスで父に勝てない。,今日はどうも頭が働かない。,一時間目の授業に間に合いそうもない。,かばんから財布を出しました。
その土地が誰の物か、法廷で争われた。,彼はひどい風邪をひいているから、近づかないほうがいい。,いつもドライヤーで髪を乾かします。,よく聞こえないので、もっと大きい声で話してください。,みんなが私の病気の回復を祝ってくれました。,失業中に、社長に拾われた。,あの人はちょっと変わっている。,ゴールはもう少しだ。あきらめるな。,彼は新宿の地図をかいてくれた。,ぬれたシャツを乾かしました。
コーヒーと紅茶とどちらがよろしいですか。どちらでも構いません。,社員は私を入れて、二十五人です。,財布にいくら入っているか、お金を数えました。,この公園で犬を放してはいけません。,彼はいつも約束を守ります。,今は一刻を争う時です。,この仕事は私に任せてください。,ダーツを的の中心に当てるのは難しい。,先生は学生に辞書を持って来させました。,論文を書き上げたら、連絡します。
彼は別の課に回された。,申込書は、できるだけ早く出して下さい。,突然物陰から男が姿を現した。,どうぞ近いうちに遊びに来てください。,このかばんを部屋に運んでください。,猫が魚をくわえて、逃げて行った。,もっと日本語の語彙を増やしたい。,この薬は風邪に効く。,のどが渇いた。,この機械は壊れやすいので、気を付けて運んでください。
時間がなかったから、駅まで走りました。,私は佐藤と申します。どうぞよろしく。,日本語の辞書を買わなければなりません。,銀行は9時に開くそうです。,花瓶の水を替える。,あの看板に何と書いてありますか。,彼女をだますつもりはなかった。,その選手のプレーは年を感じさせない、素晴らしいものだった。,山田さんはよく上司とぶつかっている。,足が痛くて、歩けません。
友達からお金を借りました。,今度の日曜日を空けておいてください。,習慣は国によって違うものです。,その学生は教師に隠れてカンニングをした。,駅からその競技場までバスが走っています。,ここで靴を乾かしてもいいです。,夕方のラッシュで道が込まないうちに帰りましょう。,太ったので、このワイシャツはもう着られなくなった。,田中さんは議長に選ばれました。,旅行の間、犬の世話を妹に任せた。
コーヒーに砂糖かミルクを入れますか,忙しくて、買い物に行けません。,彼の健闘を祈って、乾杯しましょう。,その雑誌を読み終わったら、私に回してください。,すみませんが、もう一度言ってください。,冷蔵庫に何本ビールがあるか、数えてください。,鈴木さんは貿易会社で働いています。,ごめんなさい。電話番号を間違えてしまいました。,友達に借りたお金を返さなければならない。,その事件は複雑な問題を含んでいるようだ。
先生は何とおっしゃいましたか。,それはあまり褒められたことじゃない。,経営不振で給料が減らされました。,シャツをハンガーに掛けて乾かさないと、しわになります。,うちから学校まで三十分ぐらいかかります。,そんな高いお金、とても私には払えない。,この問題について、どうお考えになりますか。,あの看板は何を表しているのでしょうか。,ドアをノックしたが、誰も答えなかった。,弟とゲームをして遊ぶつもりです。
昨日は一日中曇っていました。,その男の子は母親に抱かれて、眠ってしまった。,どの大学に行くか決めなければなりません。,書面をもって挨拶に代える。,祖父は九十二歳まで生きた。,旅行の行き先を京都から金沢に変えました。,このボタンを押すと、ドアが開きます。,そのチームは四対三で相手チームに負けました。,この道は少し先で川とぶつかります。,どうしても彼は意見を曲げようとしない。
食べ過ぎて、ちょっと太ってしまいました。,旅行の日程が決まりました。,困ったなあ。道に迷ってしまった。,勉強の時間を増やしたほうがいい。,本を読み始めると、時間を忘れてしまう。,田中さんはフルートが吹けます。,生徒たちは全員校庭に集められた。,ボールはフェンスを越えて、遠くへ飛んで行った。,日本へ日本語の勉強をしに来ました。,彼女の頼みでは断れない。
あのレストランは、とてもはやっています。,東京の電車はいつも込んでいますね。,土曜日は忙しいけど、日曜日なら空いています。,都合が悪かったので、バイトをほかの人に代わってもらった。,自然の中にいると、心が洗われるようだ。,テレビのスイッチを入れてください。,天気予報によると、台風が近づいているそうだ。,もしもし、聞こえますか,明日天気が良ければ、公園に行きましょう。,十時に集まってください。
パソコンを使い終わったら、電源を切ってください。,肩がドアにぶつかりました。,切手がたくさん集まった。,彼女は手を振って、さようならと言った。,天気予報が当たって、午後から雪が降った,彼は、いら立ちが声に表れていた。,彼の才能には舌を巻いた。,たばこの火を消すのを忘れないでください。,上着を無地にしたほうが、そのシャツが生きると思います。,その歌は、二十年ぐらい前にとてもはやった。
出費を減らさなければならない。,部屋でラジオを聞きました。,庭に花の種をまいた。,喫茶店に入って、コーヒーでも飲みましょう。,小林さんは大阪に転勤することが決まった。,田中さんは九時から五時まで働きます。,誰かが近づいてくるのを感じて、後ろを振り返った。,急がないと、間に合わない。,週末、友達と六本木で遊んだ。,宿題をするのに辞書が要る。
誰が一番背が高いか比べてみましょう。,彼女はいつもおしゃれな服を着ている。,コップや皿を片付けてくれませんか。,午後は晴れたり曇ったりでした,彼を仲間に加えたらどうですか。,森さんは、もう会社を出ましたか。,おまわりさんに道を聞いてみましょう。,ちょっと手を貸してください。,約束を破ったら、彼女に殺されそうだ。,その男はたくさんの人をだました。
ナイフで指を切ってしまいました。,この部屋とあの部屋は大きさが違います。,次の交差点を右に曲がってください。,彼は仕事が終わると、決まってこの飲み屋に寄る。,合格の発表があるまで、生きた心地がしない。,どこかでお会いしませんでしたか。,子供達が公園を走り回っています。,危険。この川で遊ぶな。,仕事の後で友達と会って、食事に行きます。,田中さんから電話がありました。
田中様、フロントまでお越しください。,寝坊したので、朝御飯を食べるのをあきらめました。,社長はもうお宅へお帰りになりました。,間違った電車に乗ってしまった。,雨が上がったら、出かけましょうか,鈴木さんはよく冗談を言います。,その瓶の蓋は回して開けます。,世界の人口は増え続けている。,彼は木陰に隠れた。,ほかに何か要る物がありますか。いいえ、もう何も要 りません。
彼は働きながら大学を出た。,よろしかったら、この辞書をお貸ししましょうか。,残念ですが、その仕事はお断りします。,毎月、月末に家賃を払います。,道を間違えました。,ラーメンを食べたら、眼鏡が曇ってしまいました。,どうぞこちらのいすにお掛けください。,富士山の美しさは、ほかの山と比べられない。,済んでしまった事を後悔しても始まらない。,学校は日本語のクラスをもう一つ増やしました。
彼の努力を褒めてあげたい。,買い物の合計金額に消費税を加えると、いくらになりますか。,イギリス人の友達に手紙を書きました。,その席は空いていますか,私はよく兄と間違えられます。,駅の近くに新しいスーパーができたそうです。,三万人を超す人々が球場に集まった。,イライラを人にぶつけるのは、やめてください。,彼女は来年イギリスへ留学することに決めている。,この料理は、もう少し塩を加えたほうがいいと思う。
車の音が聞こえます。,授業が始まる前に、先生に質問しました。,ありがとうございます。,私達は友達の誕生日を祝いました。,体重を量りました。,この欄に名前を書き込んでください。,今何をしていますか。,引っ越しする時、要らない物を捨てた。,コートをハンガーに掛けました。,父は私に車を貸してくれなかった。
子供をストーブに近づけないでください。,食事の前に、手を洗いました。,田中さんは太っています。,彼は大きな夢を抱いて、故郷を出た。,電話番号が違いますよ。,クリスマスが近づくと、街はにぎやかになる。,コートはどこで預かってくれますか。,庭の虫を殺すために、薬を買ってきた。,誤って、大切な書類を捨ててしまった。,引っ越しの荷物を運ぶのを友達に手伝ってもらった。
う少し体重を減らせと医者に言われました。,出かけましょう。,スピーチをするとき、いつも上がります。,彼は彼女に振られて、落ち込んでいます。,このセーターは水でも洗えます。,読んだ本は元の所に返してください。,約束の時間に間に合わなければ、彼女は怒るだろう。,彼女の趣味は絵をかくことです。,彼は息子を両腕にしっかり抱いた。,争うのは好きじゃない
人工の添加物を含まない食品を買うようにしている。,京都へ行ったことがありますか。,コートを着ました。,この図書館では一度に十冊の本が借りられます。,この手紙は住所が間違っている。,彼はアメリカの大学を出たそうです。,転んで、頭を床にぶつけそうになった。,“Cherry blossom” は日本語で何と言いますか。“桜”と言います。,これはあなたにあてた手紙です。,どう答えたらいいか分からなくて、困りました。
彼は肩に激しい痛みを感じました。,この山を越えれば、海が見えるでしょう。,勉強に飽きたら、散歩します。,明日九時に学校へ行きます。,彼らは事実を隠そうとした。,急に雨が降り出しました。,左へ曲がると、公園がありますよ。,彼の顔は、不安で曇っていた。,先生は六時ごろお出かけになりました。,買い物しすぎて、貯金が減ってしまった。
いかがいたしましょうか。,どうぞお好きな物をお選びください。,この上着を着てみてもいいですか。 どうぞお召しになってみて下さい。,彼女は虫一匹殺せないほど優しい人だ。,意味が分からなければ、辞書を引きなさい。,このつまみを右に回せば、お湯が出ます。,気分が悪いので、帰ってもいいですか。,ジョンは日本語が話せます。,質問があったら、手を挙げてください。,あまりにも汚かったから、弟に部屋を片付けさせた。
山田さん、いらっしゃいますか。はい、私ですが。,税金を含めて、三万五千円です。,うまくいくように祈ってください。,この問題が分からないんですが、教えてくれませんか。,気温は四十度を超しました。,勉強を始めましょう。,切符は上着のポケットに入れてある。,次の試合には負けないように頑張ろう。,姉と買い物に行って、重い荷物を運ばされた。,会議室に鍵がかかっていて、入れません。
彼らは子供を保育園に預けて働いている。,平和的な解決を図るべきだ。,来週返してください。,その映画はとても当たった。,彼女はとても怒って、彼に謝らせた。,はい、山田でございますが、どちら様ですか。,旅行に行くので、しばらく家を空けます。,悪い友人を近づけないようにしなさい。,彼はプールに飛び込んで、泳ぎ始めた。,途中で友達を拾って、空港へ向かった。
その地方は、冬は曇った日が多い。,子供達は、おなかを減らして帰ってきた。,彼はまだ経験がないから、この仕事は任せられない。,彼らは国を守るために戦った。,二階にございます。,友達が子供を預かってくれた。,これ以上、仕事を増やさないでください。,コンサートに三千人ぐらいの人が集まりました。,展示品に手を触れないで下さい。,息子はもっと小遣いを増やしてほしいと言った。
ベランダにロープを張って、洗濯物を干した。,彼は来るに決まっているよ。,これ以上太らないように、運動を始めた,腹が減った。,辞める時は一か月前に断ってください。,この大きい箱は一人で運べそうもない。,弟は口笛を吹くのが上手だ。,扇風機が回っていて、涼しい。,彼女はスカーフを首に巻いている。,このレポートは何日までに出さなければなりませんか。
今年は去年に比べて雪が多いです。,社長は来週ロンドンへいらっしゃるでしょう,教室が二階から四階に変わりました。,ペンキが乾いていないから、その壁に触らないでください。,すみませんが、席を換えていただけませんか。,薬を飲んでも、歯の痛みは消えなかった。,円札を百円玉に換えてもらった。,その鍋に少し水を加えてください。,この自転車を修理するのにいくらぐらいかかりますか。,鉛筆を貸していただけませんか。
歌う順番が回ってきた。,男性が部屋で殺されているのが発見された。,鈴木さんは仕事中、人を近づけない。,薬を口に含んで、水で流し込んだ。,そのチームはファンの期待にこたえて優勝した。,彼女にデートを断られました。,時間があれば、スポーツクラブに入りたい。,東京とニューヨークを比べると、どっちが寒いですか。,明日テストがあるとおっしゃいました。,針金を曲げて、籠を作った。
日本語で答えてください。,あきらめずに、最後まで頑張ろう。,体重が5キロ増えました。,このかばんを預かってもらえますか。,運転する時、歩行者に注意を払うように。,そんなに急がせないでください。,危ないから、その機械に近づいてはいけない。,ボールが窓に当たって、ガラスが割れた。,遅れたことを彼に謝ったほうがいい。,すぐに飽きるのはあなたの悪い癖だ。
働きすぎて、体を壊してしまいました。,ドアに鍵がかかっていて、開けられません。,五時までに仕事を片付けなければなりません。,けがをしたので、足が曲げられなくなった。,あの質問に答えられなかった。,彼女の服は、周りの人の注目を集めた。,洗濯物は乾きましたか。いいえ、まだ乾いていません。,鈴木さんは佐藤さんと昇進を争っている,子供は熊のぬいぐるみを抱いている。,風邪で熱が39度まで上がった。
野生動物の数が減っている。,ご結婚をお祝い申し上げます。,加藤さんは買い物に出かけた。,バスはまだ来ていません。,領収書にこの本の代金を含めないでください。,決められた規則を守ってください。,判断を誤ったかもしれない。,子供達の隠れた才能を引き出したい。,彼らは銀行強盗を働いて、逮捕された。,ジョンは日本で働く事を考えている。
応募者は千人を超えました。,荷物を受付に預けました。,そんな説教は聞き飽きた。,ちょっと待ってください。,彼女は恥ずかしさのあまり、両手で顔を隠してしまった。,三十分歩いて、やっと駅に着いた。,彼女は子供たちにお皿を洗わせます。,私たちは河原でテントを張った。,彼は生きるために一生懸命働いた。,かばんを棚に上げます。
ここに荷物を置いても構いませんか。,彼女はよくあなたの優しさを褒めています。,もう少し太ったほうがいいですよ。,部屋に入ってもいいですか。どうぞお入りください,三時に会議に出なければならないので、失礼します。,レポート提出の締め切りは絶対に守ってください。,私に構わないで、先に帰ってください。,遊んでばかりいないで、勉強しなさい。,けがをした足首が腫れている。,明けましておめでとうございます。
このあめには砂糖は含まれていません。,明日何時に来ますか。,友達にお金を貸しました。,ひもが切れてしまった。,このボタンに触れると、ドアが開きます,芝生に水をまいてください。,正直に謝ったら、彼女は許してくれた。,お母さんに褒められて、その子は嬉しそうだった。,仕事を急いだほうがいいです。,彼がうそをついたとは考えられない。
新幹線の切符はどこで買えますか。,この値段には消費税が含まれていますか。,昨日、母に手紙を出しました。,昨日五時にうちに帰りました。,田中さんに電話を掛けました。,またいつか集まりましょう。,彼はうそが上手で、すっかりだまされてしまった。,あと五千円あれば、十分間に合います。,この箱に何が入っているの。,このドアは押さないで、引いてください。
終電に間に合わなかった。,彼はもう八十歳を超えているだろう。,このいすを壊したのは誰ですか。,机の上を片付けます。,子供達が遊んでいるのが聞こえた。,こちらでお預かりいたします。,カードで払ってもいいですか。,前回と比べれば、今回のテストは簡単だ。,毎年正月に神社で一年の幸せを祈ります。,このテレビは壊れています。
母にゲームのデータを消されてしまった。,彼は家族のために頑張って働いている。,その件は山田さんに任せられている。,今風邪をひいています。,彼の態度には誠意が感じられない。,携帯電話をお風呂に落として、壊してしまった。,東京にどのぐらいいる予定ですか。,すみませんが、もう少しゆっくり話していただけませんか。,彼らは観光客をだまして、高い物を買わせた。,荷物を預ける所は、どこですか。
