Word,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
水,見える,小川,人間,三百,発行する,手前,飛行機,二日,手話,間食,間接的,今に,雨宿り,自動車,外れる
九,校長,天性,金銭,購読,教科書,語源,彼女,対話,秘書,左上,見聞,中年,九角形,下水,食う
子供,電車,来月,以後,白人,差し上げる,火力,中級,双子,雨季,四時,読みにくい,次男,前途,大男,外国語
北,八つ,数百,六月,名前,化学,尊父,地下鉄,数千,七草,毎分,川端,三時,男優,充電,八幡
一,東方,半島,今月,十六日,生む,中止する,九九,長男,風聞,盟友,本日,百度,休息,日本語,飛行場
今,九つ,友情,電話,科学,時代,多分,左様なら,週間,悪友,百万,青年,月給,秒読み,国語,下手
金曜日,白い,最高,植木,下がる,火薬,来月,聞き飽きる,七色,従来,見事,生物,途中,日記,入学,千秋楽
外,二つ,会話,小雨,電池,お八つ,時間,七夕,万物,語る,一日,国民,円陣,今にも,四半期,人生
左,三人,分かれる,四季,時計,調子,左派,語彙,南東,毎秒,大木,外部,五人組,高さ,読み方,雨垂れ
半,先日,電気,白書,韓国,四日,万国,停電,日の出,六時,小麦,水筒,毎々,食中毒,引き出し,一見
六,電車,食堂,中国,二十日,見分ける,川幅,月曜日,雨具,四本,先ほど,万難,後期,仲間,千生り,川上
千,行う,東洋,数学,名刺,自分,毎月,出入りする,白状,父子,五目,食用,休業,毎期,右傾,円相場
火,後,十字路,友達,見つける,先輩,六角形,東部,四方,八百長,万国,九折,噴水,下宿,暮れ六つ,生産する
聞く,一万円,毎週,五人,召し上がる,間に合う,お母さん,男女,長所,円形,六情,基金,男女,万来,半々,新聞紙
食,時々,左利き,二日,生まれる,神話,通行する,北海道,三度,大使館,月賦,七味,南米,吐き気,長さ,二割
分かる,母親,三つ,今月,思い出す,小学校,男子,火曜日,左足,本質,上手,毎食,時期,書籍,雨漏り,期間
休む,今年,前書き,外交,電気,円高,成長,時,読本,二日間,三角,子午線,午前様,俗語,昼間,面白い
先,土地,四人,川上,領土,三枚,南口,雨水,単語,西風,本土,千葉県,白鳥,第三者,残高,富士五湖
電話,分ける,聞かす,下りる,毎月,今後,童話,身長,休憩する,部分,円周,以下,生長,半値,西部,木の葉
毎日,南北,五日,女子,南側,二十歳,今頃,一見,友好,中心,元来,腕白,六種,小柄,青白い,発電
一時,一千,西方,社長,大金,電力,二時,水曜日,半球,何しろ,電子,西口,八方,午年,食器,話しかける
語,河川,出す,一本,九人,真正午,女子,前提,再来年,万策,人生,雨曇,万雷,六百,二つ目,お父さま
山,入る,生ける,九月,川岸,関東,意外,百貨店,六大,正月,分析,五倍,電線,二階,来す,右舷
土,外国,中間,円柱,読書,毎年,高める,小山,留学,天災,休講する,見出し,十時,魔女,母の日,天気予報
男,一つ,今週,生母,再三,下げる,大人,晴天,聞き手,大人,書類,二十歳,火器,土器,北口,半袖
生,英語,円滑,午刻,一時,名詞,午後中,帽子,円卓,千円札,野山,書評,休日,真っ白,配分,本文
